file	before_bytes	before_w	before_h	after_bytes	after_w	after_h	saved_pct
public/media/04-gallery-atmosphere-500x500.webp	65698	500	500	64696	500	500	1.5
public/media/10-interior-atmosphere-1400x2006.jpg	317784	1400	2006	309595	1400	2006	2.6
public/media/logo-2-600x336.webp	7966	600	336	7964	600	336	0.0
public/media/02-interior-bar-900x1350.jpg	129719	900	1350	126475	900	1350	2.5
public/media/gallery-06.jpg	237551	1440	1440	128266	1440	1440	46.0
public/media/08-evening-candle-1200x630.jpg	61864	1200	630	61102	1200	630	1.2
public/media/10-food-plating-300x463.jpg	26630	300	463	26012	300	463	2.3
public/media/03-food-overhead-300x450.jpg	38517	300	450	36942	300	450	4.1
public/media/gallery-01-1200x630.jpg	141371	1200	630	136830	1200	630	3.2
public/media/gallery-04.jpg	425510	1440	1440	201274	1440	1440	52.7
public/media/02-interior-dining-600x901.jpg	110575	600	901	107929	600	901	2.4
public/media/gallery-06-1200x630.jpg	39663	1200	630	38919	1200	630	1.9
public/media/09-guest-portrait-300x438.jpg	13406	300	438	13406	300	438	0.0
public/media/09-guest-portrait.jpg	196553	1032	1506	175792	1032	1506	10.6
public/media/04-food-prep-1400x2100.jpg	690533	1400	2100	659526	1400	2100	4.5
public/media/gallery-05-1400x1750.jpg	269135	1400	1750	261536	1400	1750	2.8
public/media/07-wine-food-300x405.jpg	23665	300	405	23384	300	405	1.2
public/media/gallery-05.jpg	451478	1440	1800	273702	1440	1800	39.4
public/media/05-cocktails-900x1479.jpg	240495	900	1479	226832	900	1479	5.7
public/media/gallery-04-1400x1400.jpg	194485	1400	1400	186608	1400	1400	4.1
public/media/gallery-01.jpg	261632	1440	1440	261632	1440	1440	0.0
public/media/08-food-plating-1920x2881.jpg	552372	1920	2881	323889	1440	2161	41.4
public/media/logo-300x132.png	2400	300	132	2108	300	132	12.2
public/media/gallery-03-1400x1400.jpg	296693	1400	1400	287538	1400	1400	3.1
public/media/04-food-prep.jpg	4112365	4000	6000	698685	1440	2160	83.0
public/media/03-gallery-interior-300x249.webp	13214	300	249	12490	300	249	5.5
public/media/11-interior-wide-500x500.jpg	36256	500	500	35174	500	500	3.0
public/media/05-cocktails.jpg	1960740	3609	5929	516740	1440	2366	73.6
public/media/07-wine-food.jpg	221010	1005	1356	194699	1005	1356	11.9
public/media/03-gallery-interior.webp	76306	888	738	69366	888	738	9.1
public/media/02-interior-dining-500x500.jpg	47111	500	500	46449	500	500	1.4
public/media/04-cafe-detail-1200x630.jpg	70760	1200	630	70760	1200	630	0.0
public/media/preview-3-600x337.png	384762	600	337	345637	600	337	10.2
public/media/10-interior-atmosphere-600x860.jpg	77422	600	860	75893	600	860	2.0
public/media/04-cafe-detail-600x860.jpg	69974	600	860	69060	600	860	1.3
public/media/10-food-plating-500x500.jpg	46040	500	500	44498	500	500	3.3
public/media/preview-900x1290.jpg	118002	900	1290	117096	900	1290	0.8
public/media/gallery-04-300x300.jpg	12368	300	300	12340	300	300	0.2
public/media/gallery-02.jpg	140724	1440	1440	130182	1440	1440	7.5
public/media/logo-1-600x441.png	25758	600	441	24130	600	441	6.3
public/media/03-food-overhead-1920x2879.jpg	1270800	1920	2879	713938	1440	2159	43.8
public/media/logo-900x397.png	6604	900	397	4505	900	397	31.8
public/media/10-food-plating.jpg	340289	1074	1656	298587	1074	1656	12.3
public/media/01-food-wraps-300x450.jpg	28686	300	450	27918	300	450	2.7
public/media/logo-1-500x500.png	27978	500	500	26642	500	500	4.8
public/media/logo-1.webp	8024	682	382	8024	682	382	0.0
public/media/gallery-03.jpg	300147	1440	1440	266561	1440	1440	11.2
public/media/preview-2-300x169.png	109392	300	169	88811	300	169	18.8
public/media/05-cocktails-600x986.jpg	114980	600	986	109571	600	986	4.7
public/media/gallery-04-500x500.jpg	28581	500	500	27848	500	500	2.6
public/media/11-interior-wide-600x899.jpg	68474	600	899	66531	600	899	2.8
